"","Player","Game","opponent","Round Number","Your Play","Opponent's Play","Your Current Allocation","Opponent's Current Allocation","pi_allocation","oi_allocation","split"
"1","Player 1","Game 1",2,1,"A","B",13,9,11,11,"even"
"2","Player 1","Game 1",2,2,NA,NA,NA,NA,11,11,"even"
"3","Player 1","Game 1",2,3,NA,NA,NA,NA,11,11,"even"
"4","Player 1","Game 1",2,4,NA,NA,NA,NA,11,11,"even"
"45","Player 1","Game 2",2,1,"A","B",13,9,11,11,"even"
"46","Player 1","Game 2",2,2,NA,NA,NA,NA,11,11,"even"
"47","Player 1","Game 2",2,3,NA,NA,NA,NA,11,11,"even"
"48","Player 1","Game 2",2,4,NA,NA,NA,NA,11,11,"even"
"57","Player 1","Game 3",3,1,"A","B",13,9,11,11,"even"
"58","Player 1","Game 3",3,2,NA,NA,NA,NA,11,11,"even"
"59","Player 1","Game 3",3,3,NA,NA,NA,NA,11,11,"even"
"60","Player 1","Game 3",3,4,NA,NA,NA,NA,11,11,"even"
"61","Player 1","Game 4",7,1,"A","B",13,18,11,20,"odd"
"62","Player 1","Game 4",7,2,NA,NA,NA,NA,11,20,"odd"
"63","Player 1","Game 4",7,3,NA,NA,NA,NA,11,20,"odd"
"64","Player 1","Game 4",7,4,NA,NA,NA,NA,11,20,"odd"
"65","Player 1","Game 5",2,1,"A","B",22,9,20,11,"odd"
"66","Player 1","Game 5",2,2,NA,NA,NA,NA,20,11,"odd"
"67","Player 1","Game 5",2,3,NA,NA,NA,NA,20,11,"odd"
"68","Player 1","Game 5",2,4,NA,NA,NA,NA,20,11,"odd"
"69","Player 1","Game 6",3,1,"A","B",13,9,11,11,"even"
"70","Player 1","Game 6",3,2,NA,NA,NA,NA,11,11,"even"
"71","Player 1","Game 6",3,3,NA,NA,NA,NA,11,11,"even"
"72","Player 1","Game 6",3,4,NA,NA,NA,NA,11,11,"even"
"73","Player 1","Game 7",12,1,"A","A",19,10,20,11,"odd"
"74","Player 1","Game 7",12,2,"A","A",17,8,20,11,"odd"
"75","Player 1","Game 7",12,3,"A","A",14,5,20,11,"odd"
"76","Player 1","Game 7",12,4,"A","B",19,0,20,11,"odd"
"77","Player 1","Game 8",11,1,"A","B",13,9,11,11,"even"
"78","Player 1","Game 8",11,2,NA,NA,NA,NA,11,11,"even"
"79","Player 1","Game 8",11,3,NA,NA,NA,NA,11,11,"even"
"80","Player 1","Game 8",11,4,NA,NA,NA,NA,11,11,"even"
"81","Player 1","Game 9",3,1,"A","B",13,18,11,20,"odd"
"82","Player 1","Game 9",3,2,NA,NA,NA,NA,11,20,"odd"
"83","Player 1","Game 9",3,3,NA,NA,NA,NA,11,20,"odd"
"84","Player 1","Game 9",3,4,NA,NA,NA,NA,11,20,"odd"
"5","Player 1","Game 10",8,1,"A","B",13,9,11,11,"even"
"6","Player 1","Game 10",8,2,NA,NA,NA,NA,11,11,"even"
"7","Player 1","Game 10",8,3,NA,NA,NA,NA,11,11,"even"
"8","Player 1","Game 10",8,4,NA,NA,NA,NA,11,11,"even"
"9","Player 1","Game 11",6,1,"A","B",13,9,11,11,"even"
"10","Player 1","Game 11",6,2,NA,NA,NA,NA,11,11,"even"
"11","Player 1","Game 11",6,3,NA,NA,NA,NA,11,11,"even"
"12","Player 1","Game 11",6,4,NA,NA,NA,NA,11,11,"even"
"13","Player 1","Game 12",7,1,"A","B",13,18,11,20,"odd"
"14","Player 1","Game 12",7,2,NA,NA,NA,NA,11,20,"odd"
"15","Player 1","Game 12",7,3,NA,NA,NA,NA,11,20,"odd"
"16","Player 1","Game 12",7,4,NA,NA,NA,NA,11,20,"odd"
"17","Player 1","Game 13",5,1,"A","B",22,9,20,11,"odd"
"18","Player 1","Game 13",5,2,NA,NA,NA,NA,20,11,"odd"
"19","Player 1","Game 13",5,3,NA,NA,NA,NA,20,11,"odd"
"20","Player 1","Game 13",5,4,NA,NA,NA,NA,20,11,"odd"
"21","Player 1","Game 14",11,1,"A","B",13,9,11,11,"even"
"22","Player 1","Game 14",11,2,NA,NA,NA,NA,11,11,"even"
"23","Player 1","Game 14",11,3,NA,NA,NA,NA,11,11,"even"
"24","Player 1","Game 14",11,4,NA,NA,NA,NA,11,11,"even"
"25","Player 1","Game 15",2,1,"A","B",13,9,11,11,"even"
"26","Player 1","Game 15",2,2,NA,NA,NA,NA,11,11,"even"
"27","Player 1","Game 15",2,3,NA,NA,NA,NA,11,11,"even"
"28","Player 1","Game 15",2,4,NA,NA,NA,NA,11,11,"even"
"29","Player 1","Game 16",10,1,"A","A",10,10,11,11,"even"
"30","Player 1","Game 16",10,2,"A","A",8,8,11,11,"even"
